PSD-95 mutant,,,,,,,
"1/27/98,1","1/22/98,4","1/20/98,4","1/20/98,3","1/28/98,2","1/28/98,3","2/5/98,2",time
404.1952378381,228.7613879957,253.7733382145,148.0847177028,431.3508100569,145.5676030372,203.4803315474,16.916
407.5589870957,235.5104501608,243.2351864442,148.7811839927,416.0437752584,146.7362434772,203.2009891469,17.7493
406.8894768101,234.8941586281,251.5349615606,149.1294171376,400.12875076,143.2334468644,202.3629619453,18.5826
394.7842989039,231.8294480171,244.1974792113,157.8409545013,412.5746575587,146.3456550948,201.5249347438,19.4159
396.1287187517,228.7613879957,246.4306260133,149.8315921676,392.6898179607,144.011498922,203.7596739479,20.2492
407.5589870957,229.9906216506,243.2404162962,152.9656904721,428.9546153571,145.1770146549,200.4075651417,21.0825
403.5257275525,232.2380760986,250.5778986455,151.9209910373,419.763241658,143.2334468644,209.3511013418,21.9158
406.214567248,231.6251339764,254.0923591862,146.691785123,404.9211401595,145.1770146549,206.8370197371,22.7491
402.1813077048,225.0837352626,239.087913812,145.2988525432,398.8054790601,146.3456550948,203.4803315474,23.5824
403.5257275525,229.1700160772,243.5594372679,154.0103899069,389.2207002611,141.6742180421,202.9216467463,24.4157
396.7982290373,228.9657020364,239.087913812,155.7515556317,406.8881656593,140.8961659844,200.1282227412,25.249
396.7982290373,228.9657020364,238.4498718686,159.5878289661,406.2444118594,138.9494734869,195.9335073499,26.0823
398.142648885,225.6966773848,234.2973693844,163.7666267055,403.3832838597,141.2867543668,199.8488803407,26.9156
400.1619782949,228.3527599143,244.1974792113,151.5727578923,413.0038267587,138.9494734869,209.3511013418,27.7489
394.7842989039,224.8794212219,232.0642225825,149.1294171376,369.550445263,137.783957754,199.0108531392,28.5822
396.1287187517,223.650187567,230.7881386957,150.8762916024,408.2114373592,138.5620098116,201.5249347438,29.4155
394.1093893418,224.4707931404,235.5786831233,149.1294171376,377.6331318622,139.7306502515,204.8770435499,30.2488
395.4538091896,227.5355037513,233.3403064693,150.5280584575,395.7655305604,140.1181139268,204.5977011494,31.0821
392.090059932,221.1984190782,230.1500967523,151.9209910373,408.8551911591,134.6686248164,204.5977011494,31.9154
383.3486312834,221.402733119,237.4928089535,151.9209910373,359.751081864,137.783957754,199.0108531392,32.7487
394.7842989039,224.2664790997,233.3403064693,153.3139236171,421.3010979579,138.5620098116,199.5695379402,33.582
398.8175584472,226.1053054662,232.7022645259,152.9656904721,395.1217767605,137.3933693716,202.3629619453,34.4153
392.7649694941,223.8578510182,229.1930338371,151.2245247474,391.6168949608,140.5087023092,208.2337317397,35.2486
392.090059932,219.3595927117,229.8310757806,150.1798253126,388.1120131612,136.2278536387,200.1282227412,36.0819
395.4538091896,217.3131028939,219.617174834,150.5280584575,388.3265977612,137.783957754,198.1728259376,36.9152
388.0568003887,215.4742765273,227.9169499503,159.2338870811,417.5816315582,137.0059056963,203.7596739479,37.7485
394.1093893418,217.5174169346,241.321060614,162.7219272707,385.0720646615,138.5620098116,201.2455923433,38.5818
395.4538091896,223.8578510182,238.4498718686,153.3139236171,384.3925467616,140.1181139268,200.9662499428,39.4151
386.712380541,219.7682207931,235.897704095,157.8409545013,368.9066914631,137.3933693716,199.8488803407,40.2484
396.7982290373,217.5174169346,225.3595523247,158.1891876463,394.4422588606,140.8961659844,202.9216467463,41.0817
387.3818908266,217.1087888532,239.7259557555,164.8113261403,379.3855727621,137.0059056963,197.3302193525,41.915
388.7317099509,216.495846731,233.3403064693,161.3289946909,380.494259862,137.3933693716,197.050876952,42.7483
385.3679606933,215.2699624866,233.9783484127,160.632528401,404.4919709596,139.3400618692,199.0108531392,43.5816
384.6930511311,215.0656484459,232.7022645259,161.3289946909,351.2284968349,137.0059056963,199.0108531392,44.4149
383.3486312834,217.1087888532,237.1737879818,162.3736941257,388.1120131612,138.5620098116,200.6869075422,45.2482
