,Wild type,,,,,
time,"1/26/98,1","1/23/98,3","2/4/98,1","2/6/98,h2","2/10/98,2",2/11 sum
31.9154,175.7094340483,141.3776680954,138.4036144578,145.1409927756,164.914521517,177.2534110097
32.7487,171.533745128,145.0794475473,136.8407592635,143.2067117222,168.7102901683,173.9896865179
33.582,180.0218813393,142.4340823484,139.0969538531,146.1120174008,168.3107355735,175.1415167214
34.4153,175.2900417113,146.9281724899,143.4331666288,148.0462984541,173.1086657497,169.8118875491
35.2486,175.7094340483,140.849460969,141.5236417368,146.1120174008,171.7102246676,173.1677391329
36.0819,174.7338910036,141.3776680954,143.4331666288,134.4985628836,178.5059278182,169.1312250462
36.9152,179.8828436624,139.2648395896,141.6969765856,142.243455294,171.1108927753,172.8186174779
37.7485,175.4313586944,145.0794475473,139.9636280973,136.4328439369,171.3106700727,176.7431039128
38.5818,183.2220272149,148.2486903061,142.219822687,140.3014060437,173.1086657497,172.6766708725
39.4151,180.717069724,144.8153439841,137.5369402137,131.593257205,176.1086002489,177.464415965
40.2484,182.8026348779,144.2871368576,139.7902932485,138.3671249903,172.3095565599,177.6309414654
41.0817,182.1074464933,142.6981859116,137.8836099113,129.6589761516,178.5059278182,182.0695649029
41.915,180.9951450778,142.1699787851,141.5236417368,132.5642818302,174.3073295343,174.0640849263
42.7483,182.2464841702,145.6076546738,137.5369402137,139.3381496155,174.7101591668,179.788973238
43.5816,177.0998108176,143.7589297311,138.5769493067,130.6300007768,174.5103818694,173.8975594259
44.4149,175.2900417113,138.7366324631,137.0169356672,134.4985628836,178.5059278182,175.355689859
45.2482,169.5872176509,139.0007360263,140.4836326438,138.3671249903,175.3094910591,172.1610237171
