PSD-95 mutant,,,,,,,
"1/27/98,3","1/22/98,7","1/22/98,3","1/20/98,5","1/28/98,6","2/5/98,h2","2/5/98,3",time
257.4241738343,219.4153291844,173.0467729292,167.0408381441,267.6681023743,239.3483996788,299.1253786768,12.6662
259.7291383733,226.4125450377,168.7091716749,177.8116313876,272.6657886306,238.637145807,290.1788331867,13.4995
258.1145314622,238.4048476908,174.1311732427,173.5674577721,268.5402057452,237.920156017,307.1777582332,14.3328
257.6542930436,237.1560759908,173.0467729292,175.8499037845,272.0143808066,242.2048870024,290.7749438092,15.1661
261.1098536291,242.4050114641,171.9623726156,175.5238400684,271.7972448653,242.2048870024,311.9515293658,15.9994
259.2688999547,250.1514903374,178.4731295183,176.1759675005,268.3230698039,251.4970746817,319.7058536109,16.8327
256.2735777878,247.1544382575,177.3887292048,171.9371391918,268.9744776279,244.3501204543,294.0584383856,17.666
262.9508073035,251.4002620373,177.3887292048,181.7243959803,264.4110632542,245.0671102444,295.5487149419,18.4993
256.0434585785,247.9037012774,177.9287518509,174.5456489202,284.398248674,232.2071813697,305.3894263657,19.3326
262.7206880942,251.8997707173,181.1863078129,177.8116313876,269.6258854519,240.0653894689,285.1070067429,20.1659
261.3399728384,254.1516541107,180.097552478,178.1376951037,261.5847364112,245.7783641161,306.8797029219,20.9992
255.1229817414,253.6521454307,180.097552478,180.7462048322,260.2819207632,240.0653894689,305.0913710544,21.8325
259.9592575826,254.1516541107,179.5575298319,182.3765234124,262.6739757235,247.2066077779,309.2641454119,22.6658
249.5963482722,269.6446118572,180.097552478,184.9850331409,253.1128750934,240.7766433406,304.7933157432,23.4991
250.5168251094,247.1544382575,179.0131521644,183.6807782767,260.4990567045,242.9218767925,315.5281931008,24.3324
257.194054625,256.6491975106,181.726330459,182.3765234124,251.5929235041,240.0653894689,306.5816476107,25.1657
258.8086615361,255.6501801507,183.35510844,181.7243959803,264.4110632542,235.7749225651,302.110817942,25.999
261.800211257,272.6416639371,183.35510844,186.294633312,263.3253835475,241.4936331307,309.2641454119,26.8323
261.1098536291,254.1516541107,180.6419301455,179.768013684,263.9767913715,240.0653894689,308.9660901007,27.6656
259.9592575826,266.1439567638,180.097552478,176.8334402395,268.1059338625,245.7783641161,317.3165249682,28.4989
260.8797344198,266.1439567638,182.8107307726,185.311096857,255.0670985655,247.923597568,314.0379165445,29.3322
255.8133393692,255.8999344907,182.8107307726,174.2195852042,263.7596554302,243.6331306642,297.9331574318,30.1655
263.6411649313,279.6388797904,183.8951310861,178.4637588198,263.5425194888,245.0671102444,302.110817942,30.9988
250.7469443187,264.3956763839,184.9795313997,179.1158862519,260.9333285872,245.7783641161,307.1777582332,31.8321
255.1229817414,260.399606944,182.8107307726,183.3547145606,265.9310148436,244.3501204543,300.3175999218,32.6654
254.6627433228,257.8979692106,183.35510844,183.3547145606,252.4614672694,245.0671102444,299.7214892993,33.4987
256.9639354157,263.6464133639,183.8951310861,183.6807782767,256.1563378778,240.0653894689,295.2506596306,34.332
259.2688999547,250.9007533574,182.8107307726,175.5238400684,264.4110632542,244.3501204543,303.3030391869,35.1653
255.3531009507,260.899115624,181.1863078129,184.9850331409,259.8476488805,248.6348514397,311.6534740545,35.9986
265.0256526332,263.8961677039,181.726330459,187.2728244601,270.7115651586,237.920156017,339.983387081,36.8319
258.1145314622,253.6521454307,182.8107307726,179.4419499679,248.9837326024,239.3483996788,318.5136323659,37.6652
256.2735777878,266.3937111038,181.726330459,177.1595039555,264.6281991955,238.637145807,324.7727939021,38.4985
262.9508073035,250.4012446774,180.6419301455,186.620697028,257.4591535258,252.9253183435,325.6669598358,39.3318
260.6496152105,255.8999344907,182.8107307726,177.8116313876,247.8980528957,242.9218767925,333.4212840809,40.1651
257.6542930436,250.4012446774,180.6419301455,184.0068419927,249.8522763678,241.4936331307,319.7058536109,40.9984
252.3615512298,252.6490337373,183.35510844,178.7898225358,248.3323247784,241.4936331307,303.0049838757,41.8317
258.1145314622,255.8999344907,182.2707081265,180.0940774,250.290107856,234.3466789033,308.3699794782,42.665
253.5121472763,248.9027186374,184.4395087536,180.4201411161,257.0248816431,247.2066077779,330.7387862797,43.4983
253.0519088577,257.6482148706,181.726330459,170.6328843276,258.7619691738,239.3483996788,328.0562884785,44.3316
256.9639354157,253.4023910907,184.4395087536,176.1759675005,241.1632791087,235.7749225651,320.0039089221,45.1649
251.4373019466,257.8979692106,181.726330459,181.3983322643,253.5471469761,234.3466789033,325.3689045246,45.9982
245.4504300589,251.1505076973,183.35510844,177.1595039555,252.8957391521,235.0636686934,314.9320824783,46.8315
247.5252753886,254.9009171307,183.35510844,179.4419499679,252.8957391521,240.0653894689,300.3175999218,47.6648
249.8264674815,251.8997707173,185.5239090672,174.5456489202,227.6937315345,235.0636686934,286.0060588293,48.4981
